challen_id,challen_name,diff_level
1,1,Medium
2,2,Hard
3,3,Hard
4,4,Easy
5,5,Medium
6,6,Hard
7,7,Medium
8,8,Medium
9,9,Hard
10,10,Medium
11,11,Hard
12,12,Hard
13,13,Medium
14,14,Hard
15,15,Medium
16,16,Medium
17,17,Hard
18,18,Easy
19,19,Hard
20,20,Hard
21,21,Medium
22,22,Medium
23,23,Hard
24,24,Medium
25,25,Hard
26,26,Medium
27,27,Medium
28,28,Medium
29,29,Hard
30,30,Hard
31,31,Medium
32,32,Easy
33,33,Medium
34,34,Medium
35,35,Easy
36,36,Medium
37,37,Medium
38,38,Medium
39,39,Hard
40,40,Hard
41,41,Hard
42,42,Hard
43,43,Hard
44,44,Hard
45,45,Medium
46,46,Medium
47,47,Hard
48,48,Medium
49,49,Hard
50,50,Medium
51,51,Medium
52,52,Medium
53,53,Medium
54,54,Medium
55,55,Easy
56,56,Hard
57,57,Medium
58,58,Medium
59,59,Hard
60,60,Hard
61,61,Medium
62,62,Easy
63,63,Medium
64,64,Medium
65,65,Hard
66,66,Medium
67,67,Easy
68,68,Medium
69,69,Medium
70,70,Medium
71,71,Medium
72,72,Medium
73,73,Medium
74,74,Hard
75,75,Hard
76,76,Medium
77,77,Easy
78,78,Easy
79,79,Hard
80,80,Hard
81,81,Hard
82,82,Medium
83,83,Medium
84,84,Easy
85,85,Hard
86,86,Easy
87,87,Medium
88,88,Medium
89,89,Medium
90,90,Medium
91,91,Easy
92,92,Medium
93,93,Hard
94,94,Hard
95,95,Hard
96,96,Medium
97,97,Hard
98,98,Medium
99,99,Hard
100,100,Easy
101,101,Medium
102,102,Hard
103,103,Hard
104,104,Medium
105,105,Medium
106,106,Medium
107,107,Medium
108,108,Medium
109,109,Hard
110,110,Medium
111,111,Medium
112,112,Hard
113,113,Easy
114,114,Easy
115,115,Hard
116,116,Hard
117,117,Hard
118,118,Medium
119,119,Medium
120,120,Medium
121,121,Easy
122,122,Hard
123,123,Medium
124,124,Hard
125,125,Hard
126,126,Medium
127,127,Hard
128,128,Hard
129,129,Easy
130,130,Easy
131,131,Hard
132,132,Hard
133,133,Hard
134,134,Hard
135,135,Medium
136,136,Easy
137,137,Easy
138,138,Hard
139,139,Easy
140,140,Medium
141,141,Easy
142,142,Medium
143,143,Medium
144,144,Easy
145,145,Easy
146,146,Easy
147,147,Medium
148,148,Hard
149,149,Hard
150,150,Medium
151,151,Easy
152,152,Medium
153,153,Easy
154,154,Hard
155,155,Hard
156,156,Medium
157,157,Hard
158,158,Easy
159,159,Medium
160,160,Medium
161,161,Hard
162,162,Medium
163,163,Hard
164,164,Hard
165,165,Medium
166,166,Hard
167,167,Medium
168,168,Medium
169,169,Medium
170,170,Hard
171,171,Medium
172,172,Medium
173,173,Medium
174,174,Hard
175,175,Medium
176,176,Medium
177,177,Medium
178,178,Hard
179,179,Medium
180,180,Medium
181,181,Hard
182,182,Medium
183,183,Medium
184,184,Hard
185,185,Medium
186,186,Medium
187,187,Medium
188,188,Easy
189,189,Medium
190,190,Hard
191,191,Hard
192,192,Medium
193,193,Easy
194,194,Medium
195,195,Hard
196,196,Medium
197,197,Medium
198,198,Hard
199,199,Hard
200,200,Medium
201,201,Medium
202,202,Easy
203,203,Medium
204,204,Hard
205,205,Medium
206,206,Easy
207,207,Easy
208,208,Easy
209,209,Medium
210,210,Medium
211,211,Medium
212,212,Medium
213,213,Medium
214,214,Easy
215,215,Medium
216,216,Medium
217,217,Medium
218,218,Medium
219,219,Easy
220,220,Easy
221,221,Medium
222,222,Medium
223,223,Hard
224,224,Medium
225,225,Hard
226,226,Easy
227,227,Hard
228,228,Medium
229,229,Medium
230,230,Hard
231,231,Medium
232,232,Hard
233,233,Medium
234,234,Hard
235,235,Medium
236,236,Hard
237,237,Hard
238,238,Medium
239,239,Hard
240,240,Hard
241,241,Medium
242,242,Easy
243,243,Hard
244,244,Medium
245,245,Easy
246,246,Medium
247,247,Hard
248,248,Hard
249,249,Hard
250,250,Medium
251,251,Hard
252,252,Medium
253,253,Medium
254,254,Hard
255,255,Medium
256,256,Easy
257,257,Medium
258,258,Hard
259,259,Medium
260,260,Medium
261,261,Hard
262,262,Medium
263,263,Easy
264,264,Easy
265,265,Hard
266,266,Easy
267,267,Hard
268,268,Medium
269,269,Medium
270,270,Hard
271,271,Easy
272,272,Hard
273,273,Easy
274,274,Medium
275,275,Hard
276,276,Hard
277,277,Hard
278,278,Hard
279,279,Medium
280,280,Hard
281,281,Hard
282,282,Medium
283,283,Hard
284,284,Medium
285,285,Hard
286,286,Hard
287,287,Medium
288,288,Hard
289,289,Medium
290,290,Easy
291,291,Medium
292,292,Easy
293,293,Hard
294,294,Easy
295,295,Medium
296,296,Medium
297,297,Easy
298,298,Medium
299,299,Medium
300,300,Medium
301,301,Medium
302,302,Medium
303,303,Medium
304,304,Hard
305,305,Medium
306,306,Medium
307,307,Medium
308,308,Hard
309,309,Hard
310,310,Medium
311,311,Hard
312,312,Hard
313,313,Hard
314,314,Hard
315,315,Hard
316,316,Medium
317,317,Hard
318,318,Medium
319,319,Medium
320,320,Hard
321,321,Medium
322,322,Medium
323,323,Medium
324,324,Medium
325,325,Hard
326,326,Medium
327,327,Hard
328,328,Hard
329,329,Easy
330,330,Medium
331,331,Medium
332,332,Medium
333,333,Medium
334,334,Medium
335,335,Hard
336,336,Hard
337,337,Hard
338,338,Medium
339,339,Medium
340,340,Medium
341,341,Medium
342,342,Hard
343,343,Medium
344,344,Medium
345,345,Hard
346,346,Hard
347,347,Hard
348,348,Easy
349,349,Easy
350,350,Medium
351,351,Hard
352,352,Medium
353,353,Hard
354,354,Hard
355,355,Medium
356,356,Medium
357,357,Hard
358,358,Medium
359,359,Medium
360,360,Hard
361,361,Hard
362,362,Medium
363,363,Medium
364,364,Hard
365,365,Medium
366,366,Medium
367,367,Easy
368,368,Hard
369,369,Medium
370,370,Medium
371,371,Medium
372,372,Medium
373,373,Medium
374,374,Easy
375,375,Hard
376,376,Easy
377,377,Medium
378,378,Hard
379,379,Hard
380,380,Medium
381,381,Hard
382,382,Hard
383,383,Medium
384,384,Hard
385,385,Hard
386,386,Hard
387,387,Medium
388,388,Medium
389,389,Medium
390,390,Easy
391,391,Medium
392,392,Medium
393,393,Medium
394,394,Hard
395,395,Hard
396,396,Hard
397,397,Medium
398,398,Easy
399,399,Medium
400,400,Medium
401,401,Hard
402,402,Hard
403,403,Hard
404,404,Medium
405,405,Hard
406,406,Medium
407,407,Easy
408,408,Medium
409,409,Easy
410,410,Medium
411,411,Medium
412,412,Medium
413,413,Medium
414,414,Hard
415,415,Hard
416,416,Easy
417,417,Hard
418,418,Hard
419,419,Medium
420,420,Medium
421,421,Medium
422,422,Hard
423,423,Medium
424,424,Medium
425,425,Easy
426,426,Medium
427,427,Hard
428,428,Hard
429,429,Hard
430,430,Medium
431,431,Medium
432,432,Easy
433,433,Medium
434,434,Hard
435,435,Hard
436,436,Hard
437,437,Medium
438,438,Medium
439,439,Hard
440,440,Easy
441,441,Medium
442,442,Easy
443,443,Medium
444,444,Medium
445,445,Hard
446,446,Medium
447,447,Hard
448,448,Medium
449,449,Medium
450,450,Easy
451,451,Medium
452,452,Medium
453,453,Medium
454,454,Hard
455,455,Medium
456,456,Hard
457,457,Medium
458,458,Hard
459,459,Easy
460,460,Medium
461,461,Medium
462,462,Medium
463,463,Medium
464,464,Medium
465,465,Medium
466,466,Medium
467,467,Hard
468,468,Medium
469,469,Hard
470,470,Medium
471,471,Medium
472,472,Hard
473,473,Hard
474,474,Medium
475,475,Medium
476,476,Easy
477,477,Medium
478,478,Hard
479,479,Hard
480,480,Easy
481,481,Medium
482,482,Hard
483,483,Medium
484,484,Hard
485,485,Hard
486,486,Easy
487,487,Medium
488,488,Medium
489,489,Medium
490,490,Hard
491,491,Easy
492,492,Medium
493,493,Medium
494,494,Easy
495,495,Hard
496,496,Medium
497,497,Medium
498,498,Hard
499,499,Hard
500,500,Medium
501,501,Easy
502,502,Medium
503,503,Hard
504,504,Medium
505,505,Hard
506,506,Medium
507,507,Hard
508,508,Hard
509,509,Medium
510,510,Hard
511,511,Medium
512,512,Medium
513,513,Easy
514,514,Easy
515,515,Easy
516,516,Medium
517,517,Medium
518,518,Easy
519,519,Medium
520,520,Medium
521,521,Medium
522,522,Medium
523,523,Hard
524,524,Medium
525,525,Medium
526,526,Hard
527,527,Medium
528,528,Medium
529,529,Easy
530,530,Hard
531,531,Easy
532,532,Hard
533,533,Hard
534,534,Hard
535,535,Medium
536,536,Medium
537,537,Medium
538,538,Medium
539,539,Hard
540,540,Medium
541,541,Medium
542,542,Medium
543,543,Hard
544,544,Hard
545,545,Medium
546,546,Hard
547,547,Hard
548,548,Hard
549,549,Hard
550,550,Hard
551,551,Medium
552,552,Medium
553,553,Medium
554,554,Medium
555,555,Medium
556,556,Hard
557,557,Hard
558,558,Medium
559,559,Medium
560,560,Hard
561,561,Easy
562,562,Medium
563,563,Medium
564,564,Medium
565,565,Medium
566,566,Medium
567,567,Medium
568,568,Hard
569,569,Medium
570,570,Medium
571,571,Hard
572,572,Medium
573,573,Medium
574,574,Easy
575,575,Hard
576,576,Medium
577,577,Hard
578,578,Easy
579,579,Hard
580,580,Hard
581,581,Hard
582,582,Hard
583,583,Hard
584,584,Medium
585,585,Medium
586,586,Medium
587,587,Easy
588,588,Hard
589,589,Hard
590,590,Medium
591,591,Hard
592,592,Hard
593,593,Medium
594,594,Medium
595,595,Hard
596,596,Medium
597,597,Medium
598,598,Easy
599,599,Hard
600,600,Medium
601,601,Hard
602,602,Hard
603,603,Hard
604,604,Medium
605,605,Medium
606,606,Medium
607,607,Hard
608,608,Medium
609,609,Medium
610,610,Medium
611,611,Hard
612,612,Medium
613,613,Hard
614,614,Medium
615,615,Medium
616,616,Hard
617,617,Easy
618,618,Easy
619,619,Hard
620,620,Medium
621,621,Hard
622,622,Medium
623,623,Hard
624,624,Medium
625,625,Hard
626,626,Medium
627,627,Easy
628,628,Medium
629,629,Hard
630,630,Easy
631,631,Medium
632,632,Easy
633,633,Easy
634,634,Medium
635,635,Hard
636,636,Hard
637,637,Easy
638,638,Medium
639,639,Medium
640,640,Medium
641,641,Medium
642,642,Medium
643,643,Medium
644,644,Hard
645,645,Hard
646,646,Medium
647,647,Hard
648,648,Medium
649,649,Hard
650,650,Hard
651,651,Medium
652,652,Medium
653,653,Medium
654,654,Medium
655,655,Hard
656,656,Medium
657,657,Hard
658,658,Hard
659,659,Easy
660,660,Medium
661,661,Easy
662,662,Easy
663,663,Hard
664,664,Medium
665,665,Hard
666,666,Hard
667,667,Hard
668,668,Medium
669,669,Hard
670,670,Hard
671,671,Medium
672,672,Easy
673,673,Hard
674,674,Medium
675,675,Medium
676,676,Medium
677,677,Hard
678,678,Medium
679,679,Medium
680,680,Hard
681,681,Medium
682,682,Medium
683,683,Medium
684,684,Medium
685,685,Easy
686,686,Medium
687,687,Hard
688,688,Hard
689,689,Easy
690,690,Hard
691,691,Hard
692,692,Medium
693,693,Medium
694,694,Medium
695,695,Easy
696,696,Hard
697,697,Hard
698,698,Easy
699,699,Hard
700,700,Hard
701,701,Hard
702,702,Medium
703,703,Easy
704,704,Medium
705,705,Medium
706,706,Hard
707,707,Medium
708,708,Hard
709,709,Medium
710,710,Medium
711,711,Medium
712,712,Medium
713,713,Medium
714,714,Medium
715,715,Hard
716,716,Medium
717,717,Hard
718,718,Medium
719,719,Medium
720,720,Hard
721,721,Hard
722,722,Medium
723,723,Hard
724,724,Hard
725,725,Medium
726,726,Hard
727,727,Medium
728,728,Medium
729,729,Medium
730,730,Medium
731,731,Hard
732,732,Medium
733,733,Medium
734,734,Medium
735,735,Medium
736,736,Medium
737,737,Medium
738,738,Medium
739,739,Medium
740,740,Medium
741,741,Hard
742,742,Hard
743,743,Medium
744,744,Medium
745,745,Hard
746,746,Medium
747,747,Medium
748,748,Hard
749,749,Medium
750,750,Easy
751,751,Hard
752,752,Hard
753,753,Medium
754,754,Easy
755,755,Medium
756,756,Medium
757,757,Easy
758,758,Hard
759,759,Easy
760,760,Hard
761,761,Medium
762,762,Medium
763,763,Hard
764,764,Medium
765,765,Easy
766,766,Hard
767,767,Hard
768,768,Hard
769,769,Hard
770,770,Hard
771,771,Hard
772,772,Medium
773,773,Hard
774,774,Hard
775,775,Medium
776,776,Medium
777,777,Medium
778,778,Easy
779,779,Medium
780,780,Hard
781,781,Medium
782,782,Hard
783,783,Hard
784,784,Medium
785,785,Medium
786,786,Hard
787,787,Medium
788,788,Hard
789,789,Hard
790,790,Hard
791,791,Hard
792,792,Medium
793,793,Hard
794,794,Medium
795,795,Medium
796,796,Hard
797,797,Hard
798,798,Hard
799,799,Easy
800,800,Hard
801,801,Medium
802,802,Hard
803,803,Easy
804,804,Hard
805,805,Medium
806,806,Hard
807,807,Medium
808,808,Hard
809,809,Hard
810,810,Medium
811,811,Hard
812,812,Medium
813,813,Hard
814,814,Hard
815,815,Hard
816,816,Hard
817,817,Medium
818,818,Hard
819,819,Medium
820,820,Medium
821,821,Medium
822,822,Hard
823,823,Medium
824,824,Hard
825,825,Medium
826,826,Hard
827,827,Medium
828,828,Medium
829,829,Hard
830,830,Medium
831,831,Hard
832,832,Hard
833,833,Medium
834,834,Hard
835,835,Medium
836,836,Hard
837,837,Easy
838,838,Medium
839,839,Hard
840,840,Hard
841,841,Easy
842,842,Hard
843,843,Easy
844,844,Easy
845,845,Medium
846,846,Medium
847,847,Hard
848,848,Hard
849,849,Hard
850,850,Medium
851,851,Hard
852,852,Easy
853,853,Medium
854,854,Hard
855,855,Medium
856,856,Hard
857,857,Medium
858,858,Medium
859,859,Medium
860,860,Medium
861,861,Medium
862,862,Hard
863,863,Easy
864,864,Easy
865,865,Hard
866,866,Hard
867,867,Hard
868,868,Hard
869,869,Medium
870,870,Easy
871,871,Hard
872,872,Medium
873,873,Medium
874,874,Medium
875,875,Medium
876,876,Medium
877,877,Hard
878,878,Easy
879,879,Medium
880,880,Hard
881,881,Hard
882,882,Medium
883,883,Medium
884,884,Hard
885,885,Easy
886,886,Medium
887,887,Medium
888,888,Hard
889,889,Medium
890,890,Medium
891,891,Medium
892,892,Hard
893,893,Hard
894,894,Hard
895,895,Medium
896,896,Hard
897,897,Hard
898,898,Hard
899,899,Medium
900,900,Easy
901,901,Medium
902,902,Hard
903,903,Easy
